"","State","Location.Code","Education","Gender","Coverage","EmploymentStatus","Income","Marital.Status","Monthly.Premium.Auto","No.Of.Open.Complaints","No.Of.Policies","Renew.Offer.Type","Vehicle.Class","Customer.Lifetime.Value","Vehicle.Size","Policy","Policy.Type","Sales.Channel","Total.Claims.Amount","Monthly.Since.Last.Claims","Months.Since.Policy.Inception","Response","predictedvalues"
"56","1","2","2","2","1","1",64997,"1",63,1,1,"2","2",2465.444865,"3","6","2","1",383.442328,7,99,"1",2571.97014631667
"57","2","2","1","2","2","2",0,"2",81,2,2,"4","2",25755.27817,"3","5","2","2",388.8,3,60,"1",11780.6762411508
"58","4","2","2","1","2","2",0,"1",245,0,1,"1","5",8672.229719,"2","3","1","3",2345.413441,34,83,"1",9633.49057079
"59","3","2","1","1","2","5",20993,"3",133,0,1,"2","3",4772.943848,"2","6","2","1",638.4,35,90,"2",4774.09228461167
"60","4","1","2","2","1","1",80210,"3",65,0,1,"1","2",2623.31543,"2","3","1","1",20.543176,30,28,"1",2618.83024376583
"61","5","2","2","1","1","2",0,"2",62,0,2,"1","2",17840.19555,"3","4","2","1",385.115437,32,59,"1",10763.5889887992
"62","5","1","3","2","1","1",30110,"2",64,0,5,"1","2",5106.111827,"2","4","2","4",140.165035,2,4,"1",4961.01332431333
"63","2","2","1","1","1","1",94731,"2",67,0,4,"2","2",5457.342569,"2","5","2","1",321.6,23,65,"1",5276.85441761333
"64","3","1","4","2","1","4",20832,"2",65,0,2,"1","1",22855.61209,"2","6","2","2",56.371967,8,32,"1",13928.2096922067
"65","1","2","2","2","2","1",26583,"2",128,4,1,"2","3",4821.418454,"2","5","2","1",614.4,6,46,"1",4974.11279057917
"66","2","2","3","1","3","1",24065,"3",111,0,5,"1","2",8630.053943,"2","2","1","3",532.8,30,1,"1",8731.75075790416
"67","3","3","3","1","2","2",0,"1",89,0,5,"1","2",6158.601171,"2","5","2","4",342.481173,13,45,"1",6507.6285367475
"68","2","2","2","2","1","2",0,"1",71,0,3,"3","2",4992.063043,"3","2","1","4",653.388564,6,5,"1",5216.61797310083
"69","4","1","1","2","3","3",26049,"2",118,0,6,"1","1",9102.267849,"1","5","2","2",121.032372,17,6,"1",9518.16038380416
"70","2","1","5","1","1","1",70125,"1",64,0,1,"2","2",2540.407726,"2","8","3","3",92.813396,21,77,"1",2797.785886375
"71","5","2","3","1","1","1",52369,"2",110,1,2,"1","3",12941.89193,"2","6","2","1",528,34,49,"1",17625.256399835
"72","4","2","1","1","3","2",0,"3",101,0,8,"3","2",7035.534088,"2","3","1","4",727.2,16,88,"1",7666.3155513025
"73","5","2","3","1","1","1",31911,"2",67,0,1,"2","2",2636.97773,"2","6","2","1",321.6,33,27,"1",2611.9230511425
"74","4","2","1","1","1","5",19683,"2",117,1,9,"1","6",8382.630118,"2","5","2","4",561.6,17,41,"2",8473.75275906
"75","4","2","2","1","3","2",0,"1",153,0,2,"3","3",26199.5401416,"2","6","2","3",1101.6,7,75,"1",16417.3486472983
"76","4","1","3","2","2","1",89642,"2",121,4,1,"3","3",4719.450052,"2","3","1","2",86.320022,11,20,"1",4745.97432579917
"77","5","1","4","2","1","1",36650,"2",69,1,1,"2","2",2725.356404,"1","6","2","4",56.60333,2,70,"2",2723.981514825
"78","2","1","3","2","1","1",50653,"2",110,0,1,"4","3",4433.97368,"3","3","1","1",262.865172,29,42,"1",4520.6113427925
"79","3","2","1","2","2","2",0,"1",98,1,2,"2","2",9764.945308,"3","5","2","4",705.6,24,11,"1",14243.5564845293
"80","5","2","2","1","2","1",34923,"1",98,0,2,"1","1",11264.36334,"2","4","2","2",639.105556,23,82,"1",15828.9016435477
"81","4","2","1","1","2","2",0,"2",82,0,2,"4","2",8930.139728,"2","4","2","2",554.522969,25,63,"1",11759.8383119208
"82","5","1","3","1","2","1",68205,"2",76,0,1,"4","1",3034.646997,"2","4","2","3",99.382943,35,14,"1",3035.41038507167
"83","4","2","1","1","1","4",29664,"2",71,0,3,"1","2",5385.853211,"2","4","2","1",340.8,1,69,"1",5558.7485569375
"84","2","3","3","2","1","1",69906,"2",74,2,2,"2","2",23444.90045,"2","3","1","3",202.860399,34,32,"1",13095.36279546
"85","5","2","1","1","1","1",46131,"2",74,0,1,"2","1",2969.593296,"3","6","2","3",355.2,27,28,"1",2899.30146480917
"86","5","2","5","1","1","1",78879,"2",69,1,4,"4","2",5509.895664,"3","6","2","2",466.570791,9,67,"1",5494.718125275
"87","5","2","2","2","1","2",0,"1",112,0,2,"2","6",12101.20884,"1","5","2","1",1252.406235,28,30,"1",20994.023002748
"88","2","2","2","1","2","1",53984,"3",80,0,1,"1","2",3214.979402,"3","2","1","2",421.484456,15,62,"1",3122.0531356475
"89","2","2","2","1","1","3",18768,"1",68,3,3,"1","2",4276.915328,"2","3","1","1",647.454583,19,53,"1",5000.11198233333
"90","2","1","3","1","2","1",58778,"2",126,0,2,"1","3",26199.5401416,"3","9","3","1",302.033971,6,62,"1",17165.232745239
"91","5","2","1","2","1","3",15192,"2",100,0,1,"4","3",3832.118106,"2","5","2","4",480,1,7,"1",3956.3376782275
"92","5","2","3","2","2","1",21604,"3",79,0,1,"1","2",3096.511217,"2","3","1","3",379.2,14,28,"2",3088.1408562325
"93","2","3","2","2","1","1",76731,"2",64,0,1,"2","2",2582.408525,"2","9","3","1",201.455005,2,68,"2",2633.45678383
"94","2","2","3","2","1","1",48534,"2",115,1,2,"4","3",13575.67599,"3","6","2","2",552,29,79,"1",18104.9598838353
"95","4","2","3","2","1","1",48412,"1",104,0,2,"3","3",26199.5401416,"2","6","2","1",707.430832,15,23,"1",17359.3955079317
"96","5","3","4","1","1","1",68197,"2",69,0,3,"2","2",5553.295758,"2","4","2","3",176.819414,1,81,"1",5493.78307107833
"97","3","2","2","1","1","2",0,"1",65,1,1,"1","1",2199.61781,"2","5","2","1",468,5,19,"1",2390.35114747417
"98","4","2","1","1","1","1",40171,"3",73,0,1,"4","2",2876.822941,"2","6","2","1",350.4,8,78,"1",2881.6868021925
"99","1","2","2","1","1","1",67798,"3",69,0,9,"1","2",5548.031892,"2","6","2","1",331.2,1,78,"2",5534.1485612225
"100","4","2","3","1","2","2",0,"1",87,0,2,"1","2",24143.87556,"2","7","3","4",626.4,9,75,"1",11465.2502519912
"101","5","3","3","2","1","1",97413,"2",73,0,6,"1","2",5904.088162,"2","6","2","1",268.819985,21,80,"1",5895.5145642075
"102","1","2","2","1","1","1",40783,"2",67,1,9,"1","2",5285.118669,"2","4","2","2",321.6,13,43,"1",5214.00302103833
"103","4","2","1","2","3","2",0,"2",112,0,1,"3","2",4177.696973,"2","5","2","1",537.6,4,49,"1",4183.67557369083
"104","4","2","1","1","3","1",65726,"2",177,0,7,"1","3",14226.50485,"2","1","1","1",849.6,35,90,"1",14785.8363497592
"105","1","2","3","1","1","2",0,"2",63,3,3,"2","1",4031.104947,"1","5","2","2",639.45899,35,59,"1",4567.71253981083
"106","4","2","4","2","2","1",25629,"1",124,2,6,"2","6",9624.524417,"2","3","1","1",595.2,3,70,"1",9771.34654241833
"107","2","1","3","2","2","1",67752,"1",131,4,9,"1","6",9877.295699,"3","5","2","4",168.517149,4,40,"1",10466.5845806017
"108","5","2","1","1","2","2",0,"1",88,0,4,"1","2",6277.011679,"2","6","2","4",633.6,30,19,"1",6246.02316949333
"109","4","2","2","1","1","4",29926,"3",74,0,1,"1","2",2756.941661,"2","1","1","3",418.233667,25,34,"1",2884.91106334583
"110","3","3","5","1","2","2",0,"2",86,0,1,"2","1",3289.547398,"2","3","1","1",398.240791,5,55,"1",2964.70251095583
"111","5","2","2","2","2","1",21450,"2",138,0,4,"1","6",10937.1785,"2","5","2","3",938.513425,15,35,"1",11152.7515858125
"112","4","3","1","2","1","1",40169,"3",65,1,3,"1","2",5119.414293,"2","6","2","2",302.818833,1,47,"1",5113.2317028725
"113","5","1","3","1","2","1",68309,"3",131,0,9,"1","3",10357.51422,"3","3","1","4",306.983596,4,67,"1",10338.3524703083
"114","2","1","3","2","1","1",38977,"2",70,0,1,"1","2",2821.947219,"2","8","3","1",139.489926,27,22,"1",2766.58487960917
"115","2","2","1","1","3","2",0,"2",114,0,1,"4","1",4079.132667,"2","2","1","3",631.124372,12,43,"1",4087.175937495
"116","1","1","1","2","1","1",43860,"1",65,0,1,"2","2",2514.59196,"2","6","2","1",156.124914,15,58,"2",2546.75459405667
"117","2","3","4","2","2","1",33288,"2",86,2,9,"1","2",6756.651404,"2","6","2","3",221.856184,1,27,"1",6866.83829389333
"118","4","1","4","2","1","1",36218,"2",68,0,1,"3","2",2730.313804,"1","4","2","3",145.252168,6,83,"1",2677.43085403167
"119","5","2","1","2","1","1",52275,"2",62,0,5,"3","2",4982.681374,"2","3","1","3",374.240783,6,88,"1",5170.4289359775
"120","5","2","3","2","1","1",76694,"2",117,0,1,"4","3",4700.583771,"2","4","2","1",561.6,34,23,"1",4628.4163218375
"121","4","3","1","1","1","1",77060,"2",106,0,2,"1","3",12941.73353,"2","5","2","3",468.566133,23,90,"1",15591.26786956
"122","3","2","2","2","2","1",30689,"2",81,0,5,"4","2",6481.526576,"2","5","2","3",467.24802,23,51,"1",6161.22118379
"123","4","1","3","1","2","1",90330,"1",137,3,2,"1","6",26199.5401416,"2","3","1","2",192.085299,0,86,"1",20873.6161122767
"124","2","1","2","1","3","1",46384,"2",113,0,1,"2","2",4443.736209,"2","1","1","4",251.774574,33,93,"1",4393.23006346833
"125","4","2","3","2","1","1",42303,"2",180,0,1,"2","5",7180.971028,"2","5","2","1",1210.920949,24,66,"1",9181.90622915583
"126","4","2","2","1","1","1",24445,"1",63,0,2,"1","1",7268.736958,"2","6","2","1",302.4,18,15,"1",12494.3310960058
"127","4","2","1","1","1","5",27208,"1",102,0,1,"1","3",3738.436222,"2","5","2","4",489.6,10,65,"1",4046.10318134083
"128","2","3","3","1","1","1",30855,"2",68,0,7,"2","2",5453.861203,"2","3","1","4",259.060862,7,15,"1",5317.933634995
"129","2","2","2","2","2","2",0,"1",98,0,2,"1","2",10346.32454,"1","6","2","1",470.4,1,15,"1",15320.186154291
"130","4","2","1","2","2","2",0,"1",86,0,5,"1","2",6064.343994,"2","6","2","2",545.240341,34,80,"1",6271.01014177667
"131","4","1","4","2","1","1",92163,"2",73,0,6,"3","1",5923.117229,"2","6","2","4",66.568642,3,79,"1",5698.42397099083
"132","1","2","1","2","1","1",82302,"2",106,0,1,"1","3",4331.460674,"2","5","2","3",722.178166,11,92,"1",4740.64663266667
"133","5","2","1","1","3","1",70340,"2",113,0,1,"1","2",4528.50489,"3","8","3","1",542.4,5,56,"1",4505.5878334525
"134","4","2","1","2","1","2",0,"1",74,0,1,"1","2",2791.906514,"3","4","2","1",532.8,35,59,"1",2493.47094043917
"135","2","2","3","1","2","1",93459,"2",99,0,5,"2","2",7996.00748,"2","6","2","4",655.41333,9,85,"1",8127.5207978275
"136","2","2","2","1","1","1",86148,"2",65,2,4,"4","2",5129.738992,"3","6","2","1",312,19,51,"1",5168.12560117667
"137","4","1","3","2","1","1",67801,"3",115,1,1,"3","3",4505.405812,"2","6","2","4",23.810491,12,45,"1",4496.16716600833
"138","1","2","3","2","1","2",0,"2",61,3,2,"3","2",6048.574243,"2","1","1","1",292.8,17,71,"1",10069.2035268392
"139","4","1","2","2","3","1",87747,"3",147,1,1,"2","3",5934.741492,"3","5","2","1",46.492039,3,87,"1",5979.04420510917
"140","5","2","1","2","3","2",0,"2",165,0,3,"3","3",12500.84302,"2","6","2","2",792,16,43,"1",11988.4569445383
"141","4","1","2","1","1","1",24825,"2",64,0,1,"2","1",2497.45507,"2","6","2","3",155.938593,34,44,"1",2533.67844167
"142","4","2","3","2","1","1",56835,"2",67,0,3,"1","1",5387.926265,"3","6","2","3",326.549425,25,16,"1",5403.24053683583
"143","2","2","2","2","1","2",0,"1",73,0,4,"2","2",5162.116944,"3","5","2","3",809.532341,21,87,"1",5092.3092703125
"144","4","3","4","2","1","1",53265,"2",62,0,3,"2","2",4980.825042,"3","5","2","2",238.005074,12,27,"1",4930.8480168175
"145","2","2","1","2","1","2",0,"2",198,1,1,"1","4",7457.237794,"3","6","2","3",1577.674417,18,55,"1",7054.37117512917
"146","1","3","2","2","1","1",43817,"2",62,1,2,"3","2",12302.76244,"2","6","2","3",245.447622,25,12,"1",9062.94255184
"147","3","2","1","1","1","2",0,"2",119,0,3,"2","6",9048.983447,"2","4","2","4",571.2,9,8,"2",8755.05128753917
"148","5","2","2","1","1","5",17622,"3",65,1,3,"1","2",4458.113369,"2","6","2","1",312,1,36,"2",4541.29221101
"149","5","1","4","2","1","1",73570,"1",70,1,1,"2","1",2778.903705,"2","9","3","3",75.936096,0,46,"1",2795.7020961125
"150","3","1","5","1","1","1",36631,"3",62,0,1,"1","2",2491.317024,"1","6","2","1",67.530904,30,77,"2",2487.11240284833
"151","4","2","3","1","3","2",0,"3",118,0,4,"1","2",8341.623748,"2","5","2","1",566.4,15,77,"1",8337.93016598333
"152","5","2","3","1","1","5",26802,"2",66,1,5,"2","1",4636.54647,"2","1","1","1",316.8,7,43,"2",4896.30932227833
"153","5","2","3","1","2","1",45345,"2",125,0,2,"1","3",14696.63549,"2","4","2","1",600,0,73,"1",18839.2014239213
"154","2","2","1","2","1","2",0,"2",69,3,2,"3","2",7281.44014,"2","5","2","2",371.803029,28,28,"1",11187.5319716958
"155","3","3","4","1","3","1",83102,"2",116,0,1,"2","2",4678.423394,"3","3","1","2",443.670399,15,35,"1",4657.17320427
"156","4","2","3","1","1","1",28432,"2",118,0,2,"2","3",13869.92705,"3","6","2","3",612.300581,1,59,"2",14398.2497901743
"157","3","3","4","2","3","1",83707,"2",108,0,7,"1","2",8717.777831,"2","3","1","1",290.391526,2,72,"1",8647.0398108125
"158","5","2","3","2","1","1",63259,"2",65,0,7,"1","2",5233.986808,"2","3","1","1",316.795337,25,14,"1",5084.6945792875
"159","4","3","3","2","1","1",63860,"2",62,0,1,"2","2",2472.469209,"2","6","2","1",208.598246,26,81,"2",2468.46923356167
"160","1","2","1","1","1","1",67176,"1",72,0,9,"2","2",5608.316348,"1","6","2","3",345.6,20,90,"1",5630.70580540667
"161","5","3","3","2","1","1",86132,"2",68,0,3,"2","1",5505.057003,"2","6","2","2",301.437365,30,10,"1",5429.11011306167
"162","3","2","1","1","2","1",41986,"1",84,2,5,"1","1",6364.902164,"3","6","2","3",430.375049,25,31,"1",6511.346473395
"163","5","3","2","1","1","2",0,"2",74,0,2,"1","2",7780.999262,"2","4","2","3",246.489123,0,52,"1",10853.8063733383
"164","5","1","3","1","1","1",37256,"2",62,0,2,"1","2",9816.528302,"2","6","2","3",128.969729,15,7,"2",10243.5367091708
"165","1","2","1","2","1","1",20668,"2",188,3,2,"2","4",21435.87782,"1","6","2","2",902.4,34,54,"1",24203.90698195
"166","4","2","1","2","1","1",54480,"2",67,0,1,"2","2",2676.867914,"3","4","2","3",321.6,19,91,"1",2659.294480915
"167","5","2","3","1","1","4",16244,"2",68,0,1,"4","1",2523.959554,"2","6","2","2",623.223617,4,85,"1",2666.131621905
"168","2","2","4","1","1","1",28728,"2",67,0,1,"4","2",2673.319593,"3","6","2","3",321.6,8,10,"1",2566.72158486
"169","2","2","1","1","3","1",57449,"1",103,0,2,"1","2",12157.32992,"2","6","2","1",494.4,6,28,"2",11881.066975655
"170","4","2","2","1","1","1",55308,"3",107,0,6,"1","3",8415.684559,"2","3","1","2",513.6,17,74,"1",8546.26307331833
"171","4","1","2","1","1","1",55790,"1",111,0,9,"3","3",8535.108918,"2","6","2","3",117.672722,4,40,"1",8734.49121862
"172","2","3","2","2","1","1",70258,"3",69,0,2,"1","2",8293.481886,"2","4","2","1",225.145949,20,65,"1",10267.19111633
"173","2","2","1","1","1","2",0,"1",73,0,3,"2","1",5077.320916,"2","6","2","2",525.6,26,84,"1",5170.32779103167
"174","1","3","4","2","3","4",15818,"2",107,0,2,"2","1",12427.39371,"2","5","2","2",333.886816,24,99,"1",16167.109137811
"175","5","1","4","1","1","1",88997,"3",72,0,3,"2","2",5757.442258,"3","9","3","3",174.041566,9,71,"2",5788.69471369083
"176","1","3","3","2","1","1",77411,"2",67,0,1,"2","2",2691.568951,"2","5","2","1",257.900458,30,63,"1",2653.34755223083
"177","4","2","3","2","1","2",0,"2",68,1,4,"3","1",4770.256564,"2","6","2","1",326.4,2,28,"1",4813.47243973917
"178","4","1","2","2","1","1",47234,"2",65,0,1,"1","2",2595.747991,"2","5","2","1",15.631363,11,34,"1",2594.50422037417
"179","4","1","4","2","2","1",36576,"2",125,1,3,"1","3",9880.38582,"2","6","2","1",113.450122,11,73,"1",9776.696527065
"180","5","2","1","2","1","4",28513,"2",100,1,2,"2","3",15114.40241,"2","2","1","2",480,4,22,"2",15513.612848946
"181","4","1","2","1","1","1",85448,"2",72,0,3,"3","2",5759.91084,"2","8","3","1",16.03451,16,76,"1",5645.87979859583
"182","4","1","3","2","2","1",74965,"2",90,0,2,"1","2",10928.40709,"2","6","2","1",58.557552,20,93,"1",11157.3860040067
"183","5","1","3","1","1","1",96045,"3",61,0,1,"2","2",2434.681155,"1","3","1","4",8.582971,24,35,"1",2460.02337051083
"184","2","2","1","2","2","1",20440,"2",128,2,9,"3","6",10064.60828,"2","3","1","3",614.4,11,54,"1",9993.2912605275
"185","5","2","2","1","1","4",14072,"3",71,0,2,"1","2",24127.50402,"2","6","2","1",511.2,13,3,"2",17759.5470564767
"186","2","2","2","1","1","4",20811,"2",61,0,1,"2","2",2308.648034,"2","5","2","1",292.8,33,61,"1",2390.76757218917
"187","2","2","1","2","1","3",11904,"1",61,2,3,"1","1",4254.620669,"3","6","2","4",292.8,34,11,"2",4312.63764229
"188","5","1","1","1","1","1",57340,"1",67,0,2,"1","2",7868.165983,"2","3","1","1",159.391681,7,19,"1",8726.71940629583
"189","1","1","2","1","2","1",70930,"3",99,0,2,"1","2",11681.37428,"2","4","2","1",190.43446,2,21,"1",15976.4016405667
"190","3","2","2","1","2","2",0,"3",82,1,3,"1","1",5454.890731,"1","3","1","3",393.6,4,77,"1",5886.98307430083
"191","5","1","2","1","1","1",82664,"2",114,3,9,"2","3",8838.085637,"2","4","2","1",133.425609,24,10,"2",8951.04091084833
"192","2","2","2","1","1","1",83210,"3",110,0,3,"3","6",8733.527338,"1","6","2","3",528,0,25,"1",8839.5842128825
"193","4","2","3","1","1","1",55437,"2",64,1,2,"3","2",17857.97233,"2","6","2","1",445.287788,5,78,"1",11115.4524499433
"194","5","1","2","2","1","1",41082,"2",63,0,2,"3","1",15147.93055,"2","5","2","4",106.647493,23,94,"1",11105.1399624792
"195","4","2","3","2","1","1",50631,"2",112,4,2,"2","3",13297.71225,"2","7","3","1",784.65781,19,12,"1",16624.1404551363
"196","2","2","1","1","2","4",21921,"2",206,0,3,"1","5",15771.39342,"1","2","1","3",1254.137899,14,44,"1",16707.8029110723
"197","1","2","3","2","2","5",24589,"2",82,0,2,"1","1",9206.598256,"2","6","2","3",511.497882,33,39,"1",11578.5147515333
"198","5","2","2","2","3","1",69379,"1",103,0,1,"1","1",4118.588554,"2","6","2","3",494.4,14,79,"2",4119.28447821
"199","5","3","3","2","1","1",66670,"2",114,0,1,"3","3",4625.548098,"2","6","2","1",518.180364,23,6,"1",4556.2708762425
"200","5","2","1","2","2","1",79270,"2",95,3,2,"2","2",11318.13083,"2","4","2","3",456,28,61,"1",13453.21978711
"201","4","2","1","2","1","2",0,"3",119,0,1,"2","3",4322.240343,"2","6","2","1",571.2,0,37,"1",5296.44596499583
"202","4","2","3","1","2","2",0,"1",135,0,1,"1","3",4471.778239,"2","6","2","1",972,8,14,"1",5104.11672391083
"203","2","2","3","1","1","1",83846,"2",74,3,2,"2","2",8717.049833,"1","7","3","1",355.2,22,94,"2",10359.9743134167
"204","1","1","3","1","1","1",51159,"2",72,0,1,"2","2",2860.111745,"2","5","2","3",4.238626,4,61,"1",2852.11860401917
"205","2","3","4","2","1","1",25666,"2",63,2,2,"4","2",7482.639506,"2","6","2","2",270.002766,7,30,"1",10830.4520361083
"206","3","2","1","1","1","5",27972,"2",61,0,1,"3","2",2227.072755,"2","7","3","4",292.8,7,38,"2",2355.96586774167
