"","No.Of.Policies","Monthly.Premium.Auto","Income","Monthly.Since.Last.Claims","Total.Claims.Amount","Months.Since.Policy.Inception","Response","Gender","No.Of.Open.Complaints","Customer.Lifetime.Value"
"124",4,103,45257,33,494.4,90,"No","F",0,8277.74558
"125",1,66,29590,17,467.503236,18,"No","M",0,2599.310879
"126",1,113,46384,33,251.774574,93,"No","M",0,4443.736209
"127",2,72,0,1,866.208321,77,"No","F",0,7984.086473
"128",8,74,51066,23,787.993313,0,"Yes","M",0,5780.182197
"129",2,203,0,20,2027.724442,66,"No","M",0,20714.94043
"130",5,86,0,19,619.2,93,"No","F",3,5337.352409
"131",1,102,27208,10,489.6,65,"No","M",0,3738.436222
"132",1,69,36650,2,56.60333,70,"Yes","F",1,2725.356404
"133",2,98,0,1,470.4,15,"No","F",0,10346.32454
"134",6,88,55873,30,299.356083,19,"No","F",0,6997.008618
"135",1,111,18052,5,699.1679,71,"No","F",0,4196.257691
"136",9,118,12829,33,328.231432,1,"No","M",0,8970.647312
"137",2,192,17588,24,1382.4,92,"No","M",0,26199.5401416
"138",2,127,0,19,609.6,40,"No","M",0,13309.33517
"139",1,74,0,35,532.8,59,"No","F",0,2791.906514
"140",4,115,73259,7,673.34265,31,"No","F",0,9217.130629
"141",1,115,67801,12,23.810491,45,"No","F",1,4505.405812
"142",1,94,0,34,451.2,59,"No","M",4,3107.568648
"143",8,64,28056,32,307.2,41,"No","M",1,5045.866663
"144",9,161,0,3,772.8,71,"No","F",1,11413.44115
"145",2,63,26806,32,302.4,19,"Yes","M",0,7019.177186
"146",2,67,22862,9,321.6,40,"No","F",0,7937.064822
"147",1,65,95854,16,312,78,"No","M",0,2632.545795
"148",4,103,54040,14,59.987126,88,"No","F",0,8255.76385
"149",3,119,0,9,571.2,8,"Yes","M",0,9048.983447
"150",9,69,67798,1,331.2,78,"Yes","M",0,5548.031892
"151",3,118,21442,32,566.4,84,"No","M",0,8312.681598
"152",1,62,36631,30,67.530904,77,"Yes","M",0,2491.317024
"153",2,62,70014,6,17.742954,4,"No","M",0,7366.1883
"154",2,108,0,8,612.102262,55,"No","F",0,23875.47675
"155",3,74,81139,22,392.6364,69,"No","M",0,5946.670679
"156",3,100,63834,23,215.226476,19,"No","F",1,8000.545061
"157",1,116,83102,15,443.670399,35,"No","M",0,4678.423394
"158",7,108,83707,2,290.391526,72,"No","F",0,8717.777831
"159",5,84,41986,25,430.375049,31,"No","M",2,6364.902164
"160",2,88,0,6,633.6,47,"No","M",0,9468.509337
"161",2,62,37256,15,128.969729,7,"Yes","M",0,9816.528302
"162",6,95,96306,12,185.355353,17,"Yes","M",1,7519.133631
"163",1,67,54480,19,321.6,91,"No","F",0,2676.867914
"164",1,68,25544,18,326.4,30,"No","F",0,2695.963857
"165",2,63,55561,2,227.872071,79,"No","M",0,7433.820995
"166",2,97,36068,0,113.367765,10,"No","F",0,26199.5401416
"167",5,95,0,13,456,20,"Yes","F",0,6846.150323
"168",5,83,47274,32,182.432565,26,"No","F",1,6636.859781
"169",2,62,0,27,297.6,53,"No","M",0,6624.61183
"170",2,68,79780,11,326.4,58,"No","F",0,8277.637562
"171",3,118,69442,26,1265.570302,6,"No","M",3,9339.341599
"172",3,92,86863,27,441.6,26,"No","M",0,7437.693335
"173",1,74,59855,30,355.2,82,"No","M",4,2771.663013
"174",2,126,35296,19,452.616872,11,"No","M",0,26199.5401416
"175",7,110,23791,11,615.27228,71,"No","F",3,8495.164213
"176",1,112,20597,31,615.256301,46,"No","F",0,4381.184212
"177",7,94,48992,30,426.072946,0,"No","F",1,7482.486135
"178",1,64,76731,2,201.455005,68,"Yes","F",0,2582.408525
"179",2,89,33806,32,395.729716,59,"Yes","F",0,26199.5401416
"180",2,63,34095,5,302.4,99,"No","F",0,7615.381271
"181",1,66,0,16,316.8,35,"Yes","F",4,2004.350666
"182",1,113,61953,5,497.047297,63,"No","M",0,4416.206243
"183",1,137,0,25,657.6,45,"No","M",0,4863.544585
"184",1,74,23333,8,5.622751,43,"No","F",0,2974.314896
"185",1,61,0,6,292.8,30,"No","M",0,2064.458781
"186",6,114,43490,24,174.588413,63,"No","F",4,8982.850377
"187",2,67,57340,7,159.391681,19,"No","M",0,7868.165983
"188",3,97,49088,4,698.4,46,"No","M",0,7704.248723
"189",2,99,70930,2,190.43446,21,"No","M",0,11681.37428
"190",7,110,61281,7,79.865605,16,"No","M",0,8737.837514
"191",2,66,25290,0,382.085897,4,"No","M",0,7705.283329
"192",9,114,82664,24,133.425609,10,"Yes","M",3,8838.085637
"193",2,112,50631,19,784.65781,12,"No","F",4,13297.71225
"194",2,114,0,30,547.2,1,"No","F",0,17771.54902
"195",1,196,63786,30,798.002689,81,"No","M",0,7778.532347
"196",1,63,0,0,302.4,75,"No","M",0,2163.870179
"197",6,66,21952,20,316.8,31,"No","F",0,5207.640754
"198",2,132,49721,18,639.971388,49,"No","F",0,21147.27716
"199",3,61,73769,24,239.540223,95,"No","F",2,4838.208972
"200",2,118,88854,6,715.252366,50,"No","M",0,14042.103
"201",2,95,79270,28,456,61,"No","F",3,11318.13083
"202",1,109,36692,1,523.2,6,"No","M",1,4276.363627
"203",2,74,83846,22,355.2,94,"Yes","M",3,8717.049833
"204",2,63,25666,7,270.002766,30,"No","F",2,7482.639506
"205",2,70,40001,26,142.567008,7,"No","F",0,8286.964421
"206",3,65,18024,13,312,1,"No","M",0,4657.159469
"207",2,68,0,19,326.4,2,"Yes","F",3,13197.92893
"208",2,62,58042,14,161.419528,88,"No","F",0,7425.870642
"209",2,65,0,6,312,45,"No","F",0,7292.948758
"210",2,182,0,3,1310.4,56,"No","M",0,18361.55525
"211",9,67,32653,4,321.6,25,"No","M",0,5271.982116
"212",1,97,93595,15,49.797016,30,"No","M",4,3763.637743
"213",2,115,90279,7,372.175592,64,"No","M",0,13955.56961
"214",3,160,22234,0,768,92,"No","F",0,12550.88198
"215",2,295,35005,14,1416,46,"No","M",0,26199.5401416
"216",3,72,88997,9,174.041566,71,"Yes","M",0,5757.442258
"217",1,210,58414,7,1008,24,"Yes","M",2,7840.165778
"218",9,69,0,27,331.2,48,"No","F",0,5170.025981
"219",1,101,0,24,727.2,11,"No","M",0,3540.90425
"220",1,88,30817,25,91.834668,43,"Yes","M",0,3436.134281
"221",3,92,71135,11,270.563995,64,"No","F",1,7396.283653
"222",9,106,46754,5,513.818403,70,"No","M",1,8507.128824
"223",1,83,70410,25,131.828507,13,"No","M",0,3323.092454
"224",1,101,0,1,960.115399,83,"Yes","M",4,3123.080994
"225",1,182,86122,33,873.6,54,"No","M",1,7247.713672
"226",2,73,43259,12,350.4,18,"No","M",0,8730.421977
"227",1,119,25816,18,571.2,63,"No","M",0,4637.164036
"228",8,73,0,14,350.853987,74,"No","M",0,5357.192698
"229",1,92,96170,8,441.6,86,"No","M",0,3694.140498
"230",1,71,18608,13,340.8,24,"Yes","M",0,2538.62632
"231",3,70,73168,21,425.800112,50,"Yes","M",0,5639.941974
"232",1,99,23051,31,475.2,86,"No","M",0,3837.357574
"233",2,115,14973,2,828,75,"Yes","M",0,12168.74492
"234",1,73,67763,17,59.861963,69,"No","F",1,2903.939763
"235",2,115,81872,10,256.43803,55,"Yes","F",0,14024.35839
"236",3,62,21342,34,74.350893,72,"No","F",0,4949.803822
"237",3,114,26308,10,547.2,30,"No","F",0,9051.905275
"238",6,114,20225,27,547.2,64,"No","M",1,8269.075366
"239",2,64,87620,3,24.063693,15,"No","F",0,7726.993623
"240",2,72,0,22,311.329282,79,"No","F",0,8311.1359
"241",1,65,34990,23,42.689135,73,"Yes","F",0,2574.020376
"242",8,71,24516,11,300.607591,23,"No","F",0,5636.740347
"243",2,71,55390,34,256.268091,29,"No","M",0,16874.32815
"244",1,62,27592,6,297.6,29,"No","F",0,2387.60606
"245",1,113,83297,6,542.4,28,"No","F",0,4591.625938
"246",7,188,0,35,1353.6,82,"No","F",0,13092.58578
"247",2,90,0,21,432,21,"No","M",0,9112.266649
"248",1,104,55897,33,499.2,5,"No","F",0,4165.166581
"249",1,96,0,5,691.2,7,"No","F",4,2898.732747
"250",1,68,36843,12,357.642982,11,"No","F",3,2621.808611
"251",6,78,75680,27,136.787725,6,"No","F",0,6242.595729
"252",8,116,37722,8,158.077504,23,"Yes","M",0,9075.768214
"253",4,63,49714,29,266.165535,64,"No","M",3,4970.357298
"254",1,65,0,8,468,58,"No","F",0,2289.618736
"255",2,67,44818,25,136.883999,41,"No","F",1,7956.150059
"256",1,72,0,14,518.4,24,"No","F",0,2555.051532
"257",3,173,28919,5,830.4,88,"No","F",0,13350.1209
"258",8,68,0,6,480.159011,93,"No","M",0,4931.221348
"259",3,66,0,15,316.8,56,"No","F",0,4876.469668
"260",3,115,18846,16,552,84,"No","F",0,9034.305834
"261",3,86,20068,8,411.011162,28,"No","F",0,6618.016423
"262",1,61,51808,3,351.149904,12,"No","F",1,2417.759961
"263",7,73,0,17,496.474767,44,"Yes","M",0,5325.724541
"264",1,119,23986,31,463.335061,3,"No","F",0,4724.786102
"265",1,103,23599,20,494.4,46,"No","M",0,3971.345097
"266",2,125,27398,4,600,71,"No","M",1,26199.5401416
"267",2,114,49088,17,547.2,87,"No","M",1,13107.92594
"268",2,90,38772,8,321.873474,87,"No","F",0,26199.5401416
"269",1,110,25943,26,1067.333126,83,"No","M",0,4145.711862
"270",2,71,0,7,404.272806,24,"No","F",0,7835.683513
"271",7,72,0,7,391.636628,34,"No","F",2,4936.888359
"272",8,89,18400,26,640.8,52,"No","M",0,6701.770088
"273",2,118,90844,10,232.674417,98,"No","F",0,14134.3474
"274",2,69,44685,1,331.2,41,"No","F",0,24723.18311
"275",1,80,0,30,336.50961,8,"No","F",0,2838.067784
"276",1,69,0,2,42.096415,71,"No","F",0,2517.533581
"277",6,66,76717,26,300.528579,10,"No","F",0,5326.677654
"278",6,107,47325,0,64.598216,92,"No","F",0,8534.792754
"279",3,111,86721,33,532.8,10,"No","M",0,8828.834957
"280",1,199,0,6,955.2,37,"No","M",0,6743.119265
"281",1,78,38644,28,361.455219,0,"No","M",1,3059.550321
"282",9,112,54230,10,537.6,21,"No","F",0,8997.040244
"283",6,65,52629,30,136.684141,22,"No","M",0,5206.118179
"284",1,61,99144,29,292.8,51,"No","M",0,2463.236825
"285",3,73,22520,17,350.4,64,"Yes","M",0,5498.940679
"286",7,61,76374,21,292.8,28,"No","F",0,4886.544296
"287",1,105,35457,0,641.230581,93,"No","F",0,4169.356909
"288",4,103,81367,2,415.768941,32,"No","F",0,8287.679305
"289",1,69,58508,32,57.614392,11,"No","F",0,2712.915597
"290",1,88,30817,25,91.834668,43,"Yes","M",0,3436.134281
"291",2,64,49937,1,302.586407,45,"No","F",0,7597.910661
"292",3,65,0,24,468,53,"No","F",0,4853.534204
"293",1,61,24641,16,294.92773,57,"No","M",0,2311.382109
"294",1,108,69040,4,518.4,88,"No","M",0,4327.098922
"295",2,113,17101,1,542.4,88,"Yes","M",0,12298.6863
"296",4,104,59886,30,71.729298,1,"No","F",0,8323.533338
"297",8,96,43137,8,460.8,41,"No","F",0,7761.267839
"298",7,69,27978,3,447.911255,21,"No","M",1,5239.890913
"299",1,118,25261,31,566.4,9,"No","F",0,4517.908834
"300",1,127,94415,6,492.770321,53,"No","M",1,5113.874718
"301",2,103,0,4,1149.203884,67,"No","M",0,11039.31617
"302",7,70,0,11,336,36,"No","M",2,4838.981869
"303",2,73,35095,25,525.6,56,"Yes","M",0,16979.79757
"304",2,214,71210,8,1027.2,89,"Yes","F",1,25807.063
"305",1,107,0,34,1261.943541,70,"No","M",1,3798.32165
"306",2,100,28657,4,588.742251,55,"No","M",0,11431.73089
"307",9,87,22093,15,616.749885,8,"No","M",0,6874.326693
"308",1,61,54483,6,292.8,57,"No","M",0,2411.256575
"309",1,63,18944,20,125.274351,64,"No","F",0,2416.542359
"310",2,99,28806,35,475.2,75,"No","F",0,11763.93565
"311",1,68,0,9,489.6,34,"No","M",0,2308.472055
"312",9,70,50405,6,7.069583,21,"No","M",1,5372.914477
"313",5,68,96021,5,315.004602,30,"No","F",0,5508.315536
"314",2,181,0,22,868.8,96,"No","M",0,26199.5401416
"315",2,66,0,16,252.149798,19,"No","F",1,20090.43865
"316",6,70,0,6,469.491537,24,"No","M",0,5161.789881
"317",2,70,25302,13,336,16,"No","M",1,13473.18567
"318",9,90,16483,14,320.519977,68,"No","F",0,6921.973993
"319",6,68,54668,3,326.4,41,"No","M",1,5345.680998
"320",2,142,69497,30,92.286763,31,"No","M",0,16973.74021
"321",1,63,86617,9,188.325603,10,"No","M",0,2518.112127
"322",5,66,0,2,700.331425,45,"No","F",0,4838.877084
"323",3,119,42090,0,203.352239,61,"No","M",0,9386.753031
"324",6,110,0,9,550.825934,23,"No","F",0,8087.219475
"325",1,139,37995,16,667.2,50,"Yes","F",0,5597.12496
"326",2,74,89689,14,136.829537,4,"No","M",0,8972.140307
"327",6,84,22081,1,451.670309,9,"Yes","F",0,6503.397049
"328",1,130,0,11,936,0,"No","F",0,4620.390087
"329",9,131,0,34,628.8,61,"Yes","M",0,9657.579498
"330",9,61,29809,13,365.312072,17,"No","M",0,4802.477033
"331",3,103,0,33,741.6,54,"No","F",0,7611.212764
"332",1,111,81079,11,134.222332,5,"No","F",0,4505.398267
"333",2,70,49825,14,336,27,"No","F",3,16477.76843
"334",7,72,0,20,779.629297,41,"No","M",0,4784.773547
"335",2,99,36431,27,513.252488,59,"No","M",0,11760.87637
"336",3,108,44988,30,518.4,57,"No","F",0,8620.997439
"337",1,215,46503,4,1032,21,"Yes","F",1,8427.172486
"338",2,103,54710,13,294.058449,46,"No","M",0,12350.05824
"339",1,63,53338,24,35.45384,35,"No","M",1,2503.660407
"340",3,70,62739,29,239.328571,80,"No","F",0,5581.761298
"341",2,104,44428,17,499.2,61,"Yes","M",0,12036.62051
"342",9,63,0,8,272.843439,27,"No","M",0,4825.500869
"343",2,72,25970,18,430.818992,30,"No","F",3,7778.005623
"344",2,64,71879,1,9.163065,64,"No","F",0,22693.29076
"345",1,82,0,12,590.4,67,"No","M",0,2938.07856
"346",4,85,84869,5,408,65,"No","F",0,6883.686618
"347",1,107,86860,13,513.6,29,"No","M",0,4297.018104
"348",2,65,23046,18,1.687291,7,"No","M",3,22563.61838
"349",2,108,40117,6,750.082794,55,"No","M",0,12692.67092
"350",1,87,72140,22,417.6,66,"No","M",2,3309.11965
"351",1,67,0,33,482.4,75,"No","M",2,2161.685527
"352",4,70,22404,0,211.136067,62,"No","F",1,5309.435869
"353",1,73,36844,10,283.966321,11,"No","M",0,2872.980808
"354",6,127,58703,32,227.916076,26,"No","F",2,9927.877699
"355",1,99,54964,13,525.515271,53,"No","F",0,3991.727249
"356",1,101,25147,7,694.598288,54,"Yes","F",0,3600.934326
"357",1,99,65404,16,300.703109,79,"No","M",0,3942.725768
"358",1,107,73345,7,513.6,62,"No","M",0,4307.422775
"359",8,67,22627,19,321.6,43,"No","F",0,5285.307579
"360",3,101,38702,7,253.364333,32,"No","F",3,8024.992989
"361",1,61,0,34,292.8,35,"No","F",1,2144.921535
"362",1,112,26676,7,537.6,96,"No","M",0,4389.279424
"363",9,273,15529,1,1965.6,64,"No","M",0,20725.37773
"364",1,71,23170,21,340.8,67,"No","F",0,2646.573754
"365",8,78,53998,5,414.519064,38,"No","F",5,5898.733666
"366",2,73,0,9,350.4,94,"Yes","M",0,17497.52201
"367",1,80,68776,28,87.861666,78,"No","F",0,3218.608644
"368",2,96,45039,27,192.144838,94,"No","F",0,23207.26972
"369",2,62,21514,0,257.248789,59,"Yes","F",0,11981.98481
"370",4,151,21506,11,826.658992,42,"No","F",0,11660.57298
"371",3,67,73775,14,321.6,51,"No","F",0,5398.098108
"372",2,61,44788,6,386.031248,48,"Yes","M",0,7285.030983
"373",1,66,78618,7,225.578841,56,"Yes","M",0,2619.337376
"374",1,66,25143,34,8.737111,38,"No","F",0,2530.639412
"375",6,66,38713,31,316.8,69,"Yes","F",4,4834.710493
"376",2,73,23815,4,424.330166,47,"Yes","F",0,8257.666512
"377",2,113,34495,27,389.673944,29,"No","M",0,13355.48637
"378",1,128,23975,8,614.4,39,"No","F",0,4755.720009
"379",1,74,78561,7,355.2,50,"No","F",0,3020.424822
"380",7,90,0,4,432,63,"No","M",0,6285.305195
"381",1,63,61402,14,302.4,56,"No","F",2,2506.021971
"382",2,104,52797,14,88.173438,13,"No","M",1,12174.58795
"383",1,92,31278,24,441.6,95,"Yes","M",4,3528.044252
"384",1,68,96339,1,293.205349,44,"No","F",0,2746.121383
"385",6,119,68164,27,222.582872,37,"No","M",2,9175.171899
"386",4,109,22849,5,523.2,75,"No","F",0,8789.88406
"387",8,112,16994,25,806.4,12,"No","F",0,8783.165364
"388",8,76,26876,17,364.8,72,"Yes","M",0,6005.214792
"389",2,102,0,17,734.4,91,"No","M",0,14082.63918
"390",2,138,51725,9,159.004261,16,"No","F",1,16515.00927
"391",3,107,79090,2,289.040734,74,"Yes","F",0,8609.158215
"392",3,131,39719,1,628.8,57,"No","F",0,10213.56338
"393",9,72,61990,21,48.884434,47,"No","M",0,5746.148291
"394",1,62,65744,9,166.507217,77,"No","F",0,2478.576723
"395",1,111,31071,0,215.23091,57,"No","F",2,4305.793209
"396",8,61,25813,16,205.332749,97,"No","F",0,4784.960513
"397",1,188,82157,5,1353.6,33,"No","M",0,7531.697272
"398",3,112,89382,2,573.990258,61,"No","F",0,9036.657561
"399",1,132,97742,6,199.590599,52,"No","F",0,5352.18703
"400",2,81,94590,26,388.8,31,"No","M",0,9840.082616
"401",1,85,33243,13,24.555177,19,"No","F",0,3344.809462
"402",2,101,20228,3,523.815839,43,"Yes","M",1,10408.96865
"403",1,65,19352,16,724.463534,0,"No","F",0,2467.620791
"404",1,180,0,21,1777.471271,68,"No","M",0,5886.221122
"405",7,111,34133,0,226.9684,72,"No","F",0,8834.322784
"406",1,196,0,5,940.8,59,"No","F",2,6871.966648
"407",7,62,32017,9,297.6,10,"No","F",2,4834.797545
"408",2,62,0,8,446.4,98,"No","M",0,8415.644389
"409",2,104,44428,17,499.2,61,"Yes","M",0,12036.62051
"410",1,297,32435,24,1767.348807,68,"No","M",0,11701.06985
"411",2,61,30492,32,171.38289,68,"No","M",0,7302.775082
"412",3,244,51524,6,1171.2,30,"No","M",0,19685.40911
"413",2,68,0,19,326.4,2,"Yes","F",3,13197.92893
"414",5,102,86811,19,489.6,22,"No","M",0,8157.933629
"415",2,82,72517,33,371.458196,27,"No","M",0,13156.74895
"416",8,109,43383,7,757.593913,60,"No","F",0,8649.175023
"417",8,61,0,18,292.8,15,"No","F",0,4293.009593
"418",2,102,91871,5,346.845129,3,"No","F",0,26199.5401416
"419",1,66,54000,15,373.881547,45,"No","M",0,2644.684556
"420",1,125,57709,10,600,26,"Yes","M",0,5073.282126
"421",2,93,22926,1,479.934846,99,"No","M",0,11003.01645
"422",6,110,69205,20,372.362565,56,"No","F",0,8875.965501
"423",3,138,78011,14,619.698644,42,"No","M",0,11077.68591
"424",1,62,32931,16,297.6,45,"No","M",0,2435.689035
"425",1,64,28082,9,578.499499,63,"No","M",0,2499.498786
"426",1,91,28013,16,655.2,13,"No","M",0,3591.996064
"427",2,201,39335,0,964.8,11,"No","M",0,23950.37443
"428",5,102,0,11,489.6,90,"No","M",0,7027.759594
"429",1,70,70037,6,409.985435,61,"No","F",0,2831.683664
"430",3,107,92374,16,220.018279,9,"No","F",1,8639.49502
"431",7,66,39658,32,316.8,53,"No","M",0,5281.833471
"432",1,65,0,1,328.314222,60,"No","F",0,2480.392738
"433",1,62,93383,31,244.212286,64,"No","F",0,2480.045899
"434",2,149,0,16,1072.8,70,"No","F",0,15725.25053
"435",6,105,0,4,504,98,"No","F",0,7324.928202
"436",3,66,55674,10,81.710575,95,"No","M",0,5333.038137
"437",5,66,26802,7,316.8,43,"Yes","M",1,4636.54647
